Date,Home,Away,HG,AG,Res
11/02/2023,NAC Breda,De Graafschap,2,0,H
11/02/2023,PEC Zwolle,AZ II,4,1,H
11/02/2023,VVV,Heracles,3,1,H
11/02/2023,Willem II,Dordrecht,1,0,H
14/02/2023,PSV II,ADO Den Haag,1,2,A
14/02/2023,Utrecht II,Telstar,0,1,A
28/01/2023,Den Bosch,MVV,3,3,D
28/01/2023,Eindhoven,Heracles,1,0,H
28/01/2023,Helmond Sport,Ajax II,1,1,D
28/01/2023,NAC Breda,AZ II,5,1,H
28/01/2023,PEC Zwolle,TOP Oss,4,1,H
28/01/2023,Roda JC,Dordrecht,1,0,H
28/01/2023,Telstar,Almere City,0,1,A
28/01/2023,VVV,ADO Den Haag,0,0,D
31/01/2023,PSV II,Willem II,3,2,H
31/01/2023,Utrecht II,De Graafschap,1,1,D
14/01/2023,ADO Den Haag,MVV,2,1,H
14/01/2023,De Graafschap,Ajax II,3,0,H
14/01/2023,Helmond Sport,NAC Breda,2,2,D
14/01/2023,Roda JC,TOP Oss,1,1,D
14/01/2023,Telstar,AZ II,1,0,H
15/01/2023,Almere City,Willem II,1,0,H
15/01/2023,Heracles,PEC Zwolle,0,3,A
17/01/2023,Eindhoven,Den Bosch,4,1,H
17/01/2023,Utrecht II,Dordrecht,0,1,A
24/01/2023,PSV II,VVV,1,2,A
16/12/2022,PSV II,Ajax II,2,2,D
17/12/2022,ADO Den Haag,TOP Oss,0,0,D
17/12/2022,Eindhoven,VVV,0,2,A
17/12/2022,De Graafschap,Willem II,0,3,A
17/12/2022,Helmond Sport,Den Bosch,1,0,H
17/12/2022,Heracles,Dordrecht,8,1,H
17/12/2022,NAC Breda,Almere City,0,1,A
10/01/2023,Utrecht II,AZ II,0,2,A
25/01/2023,Telstar,MVV,5,3,H
31/01/2023,Roda JC,PEC Zwolle,1,2,A
17/11/2022,ADO Den Haag,Roda JC,0,1,A
18/11/2022,PSV II,Utrecht II,2,1,H
18/11/2022,AZ II,Ajax II,1,1,D
19/11/2022,Eindhoven,Telstar,3,0,H
19/11/2022,Helmond Sport,De Graafschap,0,2,A
19/11/2022,Den Bosch,VVV,0,2,A
20/11/2022,Heracles,TOP Oss,3,0,H
20/11/2022,MVV,Almere City,1,0,H
20/11/2022,NAC Breda,PEC Zwolle,0,2,A
20/11/2022,Dordrecht,Willem II,2,2,D
05/11/2022,ADO Den Haag,VVV,2,3,A
05/11/2022,Den Bosch,De Graafschap,2,1,H
05/11/2022,Dordrecht,Ajax II,3,4,A
05/11/2022,MVV,Helmond Sport,4,0,H
05/11/2022,NAC Breda,Telstar,1,1,D
05/11/2022,TOP Oss,PEC Zwolle,0,5,A
05/11/2022,Willem II,Heracles,1,2,A
08/11/2022,AZ II,Roda JC,2,0,H
08/11/2022,PSV II,Almere City,0,1,A
08/11/2022,Utrecht II,Eindhoven,0,1,A
22/10/2022,ADO Den Haag,De Graafschap,2,2,D
22/10/2022,Heracles,Eindhoven,3,0,H
22/10/2022,TOP Oss,Roda JC,3,0,H
22/10/2022,Willem II,Almere City,1,1,D
23/10/2022,Dordrecht,NAC Breda,0,3,A
23/10/2022,MVV,Den Bosch,3,1,H
25/10/2022,Ajax II,VVV,1,1,D
25/10/2022,AZ II,Telstar,0,0,D
25/10/2022,PSV II,Helmond Sport,6,0,H
25/10/2022,Utrecht II,PEC Zwolle,0,1,A
08/10/2022,ADO Den Haag,Eindhoven,1,0,H
08/10/2022,Ajax II,Helmond Sport,0,1,A
08/10/2022,AZ II,NAC Breda,4,0,H
08/10/2022,Dordrecht,PEC Zwolle,3,0,H
08/10/2022,Heracles,De Graafschap,3,2,H
08/10/2022,TOP Oss,MVV,0,1,A
08/10/2022,PSV II,Telstar,0,2,A
08/10/2022,Roda JC,VVV,4,1,H
08/10/2022,Utrecht II,Almere City,0,2,A
08/10/2022,Willem II,Den Bosch,1,2,A
13/09/2022,Ajax II,NAC Breda,3,1,H
13/09/2022,Almere City,Eindhoven,1,1,D
13/09/2022,AZ II,PEC Zwolle,2,3,A
13/09/2022,PSV II,Den Bosch,3,1,H
13/09/2022,Roda JC,De Graafschap,3,2,H
13/09/2022,Utrecht II,ADO Den Haag,1,1,D
24/09/2022,Dordrecht,MVV,1,2,A
24/09/2022,Heracles,Helmond Sport,2,0,H
24/09/2022,TOP Oss,Willem II,1,3,A
24/09/2022,VVV,Telstar,1,1,D
10/09/2022,ADO Den Haag,AZ II,2,2,D
10/09/2022,Almere City,Telstar,0,1,A
10/09/2022,Dordrecht,Den Bosch,2,1,H
10/09/2022,Eindhoven,MVV,5,0,H
10/09/2022,De Graafschap,NAC Breda,1,1,D
10/09/2022,Heracles,VVV,5,3,H
10/09/2022,TOP Oss,Ajax II,1,1,D
10/09/2022,PEC Zwolle,Willem II,2,2,D
10/09/2022,Roda JC,PSV II,1,1,D
10/09/2022,Utrecht II,Helmond Sport,2,0,H
27/08/2022,Almere City,Den Bosch,2,0,H
27/08/2022,Eindhoven,AZ II,1,0,H
27/08/2022,De Graafschap,Dordrecht,1,1,D
27/08/2022,TOP Oss,VVV,1,2,A
27/08/2022,PEC Zwolle,PSV II,4,2,H
27/08/2022,Roda JC,NAC Breda,1,3,A
27/08/2022,Telstar,Helmond Sport,2,1,H
28/08/2022,ADO Den Haag,Ajax II,4,0,H
30/08/2022,Heracles,MVV,2,2,D
30/08/2022,Utrecht II,Willem II,0,0,D
13/08/2022,Almere City,TOP Oss,3,0,H
13/08/2022,De Graafschap,VVV,1,2,A
13/08/2022,Eindhoven,Willem II,2,1,H
13/08/2022,Helmond Sport,AZ II,1,3,A
13/08/2022,Roda JC,Ajax II,1,0,H
13/08/2022,Telstar,PEC Zwolle,0,5,A
14/08/2022,ADO Den Haag,Den Bosch,0,2,A
16/08/2022,Utrecht II,Heracles,0,3,A
16/08/2022,PSV II,Dordrecht,1,0,H
16/08/2022,MVV,NAC Breda,3,1,H
